Facility ID,Latitude,Longitude,Building Count,Total Building Footprint,Building as % of Area,Footprint per building,Highway,Trunk Road,Primary Road,Secondary Road,Tertiary Road,Residential Road,Railway,Parking Lot,Residential Area,Commercial Area,Retail Area,Industrial Area,Railway Area,Cemetery,Woodland,Park,Recreation,Education,Health Care,Water,Beach
1135,40.6491838,-73.6617172,863,"169,124",0.33,196,0,0,0,281634.36,3306.37,606134.46,1325.24,19015.03,7384397.15,0,57641.76,0,0,0,20258.06,17924.36,8804.05,142827.18,0,135336.19,0
1813,40.5793988,-74.0960422,862,"155,254",0.31,180,0,0,3.09,0,0,53096.82,0,0,0,0,0,0,0,0,34664.99,28801.4,7121.99,31171.23,0,70359.61,0
2391,40.7234272,-73.9996171,862,"521,875",1.03,605,0,0,1242.46,730.75,0,71345.29,0,4181.54,0,0,0,0,0,0,0,8757.24,4780.45,422699.1,0,0,0
8835,38.9286173,-77.0329179,861,"309,035",0.61,359,0,0,5310.21,20086.43,1399.9,56461.4,0,36356.06,1550.63,0,19358.7,0,0,0,0,38379.95,26515.43,41689.56,0,0,0
2023,40.6845887,-73.9769192,861,"333,026",0.65,387,0,0,741.17,4411.75,147.77,15182.64,34728.7,6784.44,0,64599.36,0,0,59586.35,0,0,24212.42,6540.75,15455.7,0,0,0
6817,42.3611203,-71.0655398,860,"450,215",0.89,524,0,0,4886.48,16005.44,19550.11,20162.18,0,57639.68,72705.46,0,5628.66,0,0,0,2938.68,10788.82,4711.51,462.62,158047.47,0,0
2348,40.8332479,-73.8610077,859,"279,717",0.55,326,659.29,0,0,6131.79,7640.68,93309.46,0,0,877646.14,0,0,0,0,0,0,18027.73,701.72,0,0,0,0
5614,33.9730233,-118.243009,858,"208,150",0.41,243,0,0,1798.74,0,9148.93,8916.67,8434.9,7516.25,0,0,95415.64,0,501678.73,0,0,137568.21,26781.5,31632.23,0,0,0
12063,41.8542957,-87.6949736,852,"299,241",0.59,351,0,0,0,131.91,30.47,766.72,32629.83,26015.84,1573225.31,0,167421.73,8929177.93,0,0,0,1275297.91,161225.45,13200.18,29752.16,0,0
1808,40.6264929,-74.0776414,849,"253,403",0.5,298,0,0,0,21972.82,63064.17,30091.47,0,15739.94,555285.79,36821.66,0,57080.67,66472.91,0,0,69079.04,10862.57,0,191858.17,0,0
6446,32.7053703,-117.1251034,849,"166,815",0.33,196,0,0,0,2893.2,327.24,5591.19,49398.06,0,0,0,0,0,0,0,0,928.3,0,0,0,0,0
12124,41.9823333,-87.8075054,848,"178,224",0.35,210,36544.07,0,6648.44,108.91,67346.9,79623.45,0,6884.25,5617403.16,0,113450.51,0,143024.32,0,0,0,0,27074.81,0,0,0
2002,40.718658,-74.0005408,848,"485,781",0.96,573,0,620.88,153.73,4118.2,4796.96,88494.16,0,8101.75,0,0,0,0,0,0,0,33845.4,4497.49,0,0,604.91,0
2214,40.7231232,-73.9901423,847,"371,772",0.73,439,0,0,3369.03,173.3,0,48676.48,0,17134.49,64857.01,0,0,0,0,9594.82,0,16257.57,12918.32,14365.3,0,36.38,0
2380,40.7732613,-73.9594274,846,"435,727",0.86,515,0,0,1927.8,408.24,0,2963.77,1022.6,722.25,0,0,0,0,0,0,0,0,6165.2,2120.42,14434.65,0,0
14903,41.7519348,-87.5522997,845,"212,796",0.42,252,0,0,8321.33,261.17,0,55543.06,19592877.37,12537.2,890078.66,0,63465.13,1910.21,18361.3,0,0,802048.36,0,10748.1,0,0,0
10421,47.5792339,-122.3117145,843,"257,576",0.51,306,0,0,0,50528.89,7249.78,59589.22,0,15109.17,355672.35,0,8242.59,0,4478.56,0,190328.35,1252.49,1023.52,0,0,0,0
14975,41.6848399,-87.6713713,840,"154,953",0.3,184,0,0,0,577.58,17539.06,41561.09,17876714.72,12461.23,2894359.29,0,0,349360.18,0,0,0,44239.72,7418.22,0,0,0,0
12158,41.8872107,-87.754662,839,"205,548",0.4,245,0,0,0,6228.12,3.42,7502.4,2028.51,2193.77,4179187.09,0,0,0,0,0,0,3513.84,0,17976.58,0,0,0
8766,38.8859262,-76.9771662,839,"172,099",0.34,205,0,0,883.17,501.87,20.8,6507.35,0,22453.73,0,219215.01,0,0,0,239684.8,0,1192601.82,0,9296.41,0,0,0
6317,34.0240326,-118.3461418,838,"218,586",0.43,261,0,0,0,401.83,419.27,406187.96,0,0,1388749.48,0,0,0,68235.55,0,0,175566.94,37551.97,117331.37,0,0,0
6318,34.0240326,-118.3461418,838,"218,586",0.43,261,0,0,0,401.83,419.27,406187.96,0,0,1388749.48,0,0,0,68235.55,0,0,175566.94,37551.97,117331.37,0,0,0
2322,40.6740248,-73.9701254,837,"269,599",0.53,322,0,0,15772.36,1426.51,4478.8,74673.94,0,720.54,0,0,0,0,0,0,92821.84,57924.41,275627.65,1919.71,0,228.44,0
2113,40.6887823,-73.9046724,837,"201,854",0.4,241,0,0,0,273.72,0,63641.68,33028.17,0,0,0,0,0,71272.45,162778.13,0,0,2006.66,19332.55,0,0,0
2086,40.725257,-73.9903489,834,"379,474",0.75,455,0,0,3830.65,104.42,0,61651.7,0,21311.96,64857.01,0,0,0,0,9594.82,0,18545.31,12190.39,432803.33,0,23.58,0
